"V1","V2"
"Date of report","2022-04-25 18:55:35"
"Software version","0.8"
"Nb of tested samples","2"
"Names of tested samples","ZH2005406ms1 ZH1712576ms2"
"Control population filename","Control_population.csv.gz"
"Nb of tested cpg probes","216"
"Nb of tested regions","7"
"Mean size of tested regions","2753.286"
"Min|Max size of tested regions","961-5047"
"Mean probe count per tested region","30.85714"
"Min|Max probe count per tested region","6-61"
"Nb of tested control cpg probes","52"
"Nb of control regions","2"
"Mean size of control regions","3004"
"Min|Max size of control regions","961-5047"
"Mean probe count per control region","26"
"Min|Max probe count per control region","9-43"
